Usual Hours Worked,Education (yrs),Yearly Earnings,Race,Sex,Usual Weekly Earnings,State,Month in Sample
40,18,0,White,Male,.,Ohio,4
50,12,33000,White,Female,654,Ohio,4
40,16,0,White,Male,.,Ohio,7
55,16,10000,White,Male,.,Ohio,7
0,16,0,White,Male,.,Ohio,7
55,16,0,White,Male,.,Ohio,7
55,18,98000,White,Female,.,Ohio,6
0,18,30000,White,Male,.,Ohio,7
40,16,29200,White,Male,.,Ohio,7
40,8,13000,Black,Female,.,Ohio,2
50,18,57000,Black,Male,1154,Ohio,8
45,18,53000,Black,Female,769,Ohio,8
0,18,0,White,Male,.,Ohio,8
55,16,150000,White,Male,.,Ohio,2
40,12,17600,Black,Female,329,Ohio,8
40,12,20289,White,Female,256,Ohio,8
48,12,58000,White,Male,1115,Ohio,4
40,12,32000,White,Female,615,Ohio,4
50,12,8300,White,Female,.,Ohio,2
40,8,25000,White,Male,.,Ohio,6
50,13,46000,White,Female,.,Ohio,5
39,16,21000,White,Male,.,Ohio,6
0,13,20000,White,Female,.,Ohio,6
40,8,2000,White,Male,.,Ohio,6
60,12,36495,White,Male,.,Ohio,6
38,13,35961,White,Female,.,Ohio,6
40,13,9200,Black,Female,.,Ohio,5
40,13,21375,Black,Male,.,Ohio,5
40,12,50000,White,Male,.,Ohio,5
40,13,9000,White,Female,.,Ohio,5
70,16,81000,White,Male,.,Ohio,5
40,12,25000,White,Male,.,Ohio,5
40,12,27000,White,Male,.,Ohio,7
40,12,0,White,Female,.,Ohio,7
45,12,14000,White,Male,.,Ohio,7
40,16,20000,White,Male,1000,Ohio,8
0,10,13600,White,Male,.,Ohio,2
0,13,27000,White,Male,.,Ohio,2
40,16,20000,White,Male,.,Ohio,2
44,16,34000,White,Male,.,Ohio,2
0,16,58000,White,Female,.,Ohio,2
40,10,25000,Black,Male,.,Ohio,2
0,10,11440,Black,Male,.,Ohio,2
0,16,44000,Black,Male,.,Ohio,2
0,16,55000,Black,Female,.,Ohio,2
40,16,35000,Black,Female,.,Ohio,3
45,13,0,White,Female,.,Ohio,3
50,12,62000,White,Male,.,Ohio,7
40,13,18000,Black,Female,.,Ohio,7
40,12,20800,White,Female,440,Ohio,4
